carat,cut,color,clarity,depth,table,price,x,y,z,x*y*z
0.38,2-Premium,2-E,5-VS2,61.8,58.0,866,4.61,4.64,2.86,61.176544
0.31,1-Ideal,4-G,4-VS1,62.1,55.0,625,4.33,4.37,2.7,51.089670000000005
1.0,5-Fair,5-H,6-SI1,55.2,64.0,3830,6.69,6.64,3.68,163.471488
0.78,1-Ideal,4-G,5-VS2,61.7,55.0,3184,5.94,5.89,3.65,127.70109000000001
1.0,3-Very Good,1-D,6-SI1,59.8,59.0,5671,6.47,6.51,3.88,163.424436
0.7,3-Very Good,5-H,4-VS1,60.3,63.0,2399,5.77,5.73,3.47,114.72548700000002
0.64,3-Very Good,3-F,6-SI1,60.7,59.0,1688,5.51,5.59,3.37,103.799033
0.31,1-Ideal,6-I,4-VS1,61.3,55.6,513,4.37,4.4,2.69,51.72332
0.52,1-Ideal,4-G,5-VS2,61.9,55.0,1549,5.15,5.18,3.2,85.3664
0.33,1-Ideal,2-E,4-VS1,62.6,57.0,1002,4.42,4.4,2.76,53.67648
0.3,3-Very Good,5-H,2-VVS1,63.4,57.0,878,4.31,4.27,2.72,50.058063999999995
1.0,4-Good,7-J,6-SI1,63.9,60.0,3679,6.26,6.19,3.98,154.222612
0.3,1-Ideal,2-E,8-I1,60.3,57.0,495,4.39,4.36,2.64,50.530656
0.47,2-Premium,5-H,4-VS1,61.8,58.0,1221,4.99,4.94,3.07,75.67734200000001
1.59,1-Ideal,5-H,4-VS1,60.7,56.0,13839,7.54,7.58,4.59,262.333188
1.01,4-Good,4-G,6-SI1,63.7,60.0,5113,6.32,6.28,4.01,159.15529600000002
0.34,1-Ideal,5-H,6-SI1,62.6,56.0,628,4.48,4.46,2.8,55.94624
0.31,1-Ideal,2-E,3-VVS2,60.8,57.0,816,4.36,4.39,2.66,50.913464000000005
0.74,1-Ideal,4-G,5-VS2,61.2,56.0,3434,5.82,5.85,3.57,121.54778999999998
0.33,1-Ideal,3-F,5-VS2,62.6,55.0,854,4.42,4.4,2.76,53.67648
1.08,1-Ideal,6-I,5-VS2,61.8,54.0,5455,6.6,6.57,4.07,176.48334000000003
0.79,1-Ideal,4-G,6-SI1,62.3,57.0,2898,5.9,5.85,3.66,126.32490000000001
0.3,1-Ideal,5-H,3-VVS2,61.5,57.0,776,4.34,4.31,2.66,49.756364
1.33,1-Ideal,6-I,3-VVS2,62.2,56.0,7887,7.01,7.04,4.37,215.661248
0.51,3-Very Good,5-H,6-SI1,61.2,55.0,1008,5.19,5.21,3.18,85.98688200000001
0.58,1-Ideal,1-D,7-SI2,61.2,57.0,1342,5.36,5.4,3.29,95.22576000000001
1.22,1-Ideal,5-H,5-VS2,62.0,58.0,7623,6.81,6.86,4.24,198.078384
0.78,4-Good,5-H,5-VS2,63.7,60.0,2440,5.77,5.73,3.66,121.00728600000001
1.62,1-Ideal,6-I,4-VS1,60.8,56.0,11152,7.56,7.61,4.62,265.795992
1.65,1-Ideal,4-G,5-VS2,60.8,56.0,14456,7.65,7.7,4.67,275.08635
0.55,3-Very Good,3-F,4-VS1,61.2,56.4,1975,5.28,5.33,3.25,91.4628
1.64,1-Ideal,2-E,6-SI1,60.7,55.0,9801,7.67,7.64,4.65,272.48442
0.3,2-Premium,2-E,5-VS2,62.5,59.0,658,4.27,4.3,2.68,49.20748
0.41,1-Ideal,1-D,5-VS2,61.7,56.0,1076,4.81,4.78,2.96,68.05572799999999
0.3,2-Premium,1-D,3-VVS2,62.4,58.0,752,4.26,4.3,2.67,48.90905999999999
1.1,2-Premium,4-G,5-VS2,59.6,60.0,6121,6.72,6.7,4.0,180.096
1.03,1-Ideal,6-I,6-SI1,63.3,57.0,4401,6.37,6.46,4.06,167.06981199999998
0.3,5-Fair,7-J,5-VS2,64.8,58.0,416,4.24,4.16,2.72,47.976448000000005
1.02,2-Premium,6-I,6-SI1,62.7,58.0,4227,6.44,6.41,4.03,166.360012
0.56,2-Premium,2-E,5-VS2,61.8,56.0,1915,5.31,5.28,3.27,91.680336
1.51,3-Very Good,3-F,4-VS1,62.6,57.0,14976,7.25,7.29,4.55,240.478875
1.13,2-Premium,6-I,6-SI1,61.8,59.0,4536,6.65,6.68,4.12,183.01864
0.34,1-Ideal,6-I,6-SI1,61.9,57.0,589,4.48,4.44,2.76,54.89971200000001
1.16,2-Premium,5-H,7-SI2,58.8,61.0,4157,6.93,6.84,4.05,191.97485999999998
0.38,3-Very Good,3-F,5-VS2,59.7,57.0,752,4.73,4.79,2.84,64.345028
1.03,2-Premium,4-G,6-SI1,60.5,60.0,5105,6.52,6.48,3.93,166.040928
0.9,3-Very Good,2-E,7-SI2,62.2,54.0,3715,6.13,6.21,3.84,146.178432
0.5,3-Very Good,1-D,6-SI1,62.8,58.0,1415,5.02,5.05,3.16,80.10915999999999
0.3,1-Ideal,3-F,6-SI1,62.2,54.2,499,4.31,4.34,2.69,50.317525999999994
0.64,1-Ideal,1-D,4-VS1,61.5,56.0,2787,5.54,5.55,3.41,104.84727000000001
0.91,5-Fair,3-F,7-SI2,65.3,51.0,2996,6.05,5.98,3.93,142.18347
1.24,2-Premium,4-G,2-VVS1,60.4,59.0,10485,7.02,7.01,4.24,208.65124799999998
2.3,1-Ideal,6-I,7-SI2,61.8,57.0,16329,8.48,8.45,5.23,374.76088
0.27,1-Ideal,2-E,4-VS1,61.6,56.0,603,4.17,4.14,2.56,44.195328
1.0,2-Premium,7-J,3-VVS2,59.6,61.0,3864,6.4,6.36,3.8,154.67520000000002
0.71,1-Ideal,4-G,5-VS2,62.9,56.0,2443,5.73,5.68,3.59,116.84157599999999
0.36,2-Premium,2-E,6-SI1,60.8,59.0,810,4.59,4.56,2.78,58.18651199999999
0.31,1-Ideal,1-D,7-SI2,62.1,57.0,593,4.34,4.32,2.69,50.434272
0.93,1-Ideal,5-H,6-SI1,62.8,56.0,3988,6.19,6.27,3.91,151.752183
0.33,4-Good,1-D,5-VS2,61.8,61.0,652,4.4,4.44,2.73,53.333280000000016
1.77,2-Premium,4-G,7-SI2,62.7,59.0,9664,7.67,7.66,4.8,282.01056
1.06,1-Ideal,2-E,7-SI2,62.2,55.0,5223,6.51,6.54,4.06,172.856124
1.21,1-Ideal,4-G,7-SI2,62.1,57.0,5226,6.8,6.85,4.24,197.4992
0.3,1-Ideal,2-E,2-VVS1,62.3,55.0,826,4.29,4.32,2.68,49.66790400000001
1.27,1-Ideal,6-I,5-VS2,62.6,57.0,6401,6.92,6.88,4.32,205.673472
0.92,3-Very Good,1-D,7-SI2,62.4,60.0,4168,6.21,6.25,3.89,150.980625
0.31,1-Ideal,6-I,4-VS1,61.9,54.0,489,4.34,4.38,2.7,51.32484
2.01,4-Good,5-H,5-VS2,57.8,60.0,18561,8.29,8.35,4.81,332.95541499999996
1.51,1-Ideal,4-G,4-VS1,61.9,57.0,14674,7.37,7.34,4.55,246.13589
1.83,3-Very Good,4-G,5-VS2,60.5,59.0,18358,7.89,7.99,4.8,302.59728
0.38,2-Premium,3-F,4-VS1,62.4,59.0,933,4.57,4.63,2.87,60.72661700000001
0.23,2-Premium,3-F,3-VVS2,61.3,59.0,445,3.94,3.99,2.43,38.201058
0.92,1-Ideal,6-I,6-SI1,62.1,55.0,3610,6.24,6.29,3.89,152.680944
1.5,2-Premium,1-D,6-SI1,62.4,58.0,12069,7.27,7.31,4.55,241.80383499999996
0.32,3-Very Good,4-G,4-VS1,62.1,55.0,645,4.41,4.44,2.75,53.8461
1.0,1-Ideal,3-F,7-SI2,61.2,57.0,4372,6.39,6.48,3.94,163.14436800000001
0.31,3-Very Good,3-F,2-VVS1,59.4,57.0,779,4.39,4.43,2.62,50.952974
0.52,4-Good,3-F,7-SI2,58.7,64.0,1350,5.24,5.26,3.08,84.89219200000001
2.01,1-Ideal,5-H,7-SI2,62.5,53.9,14998,8.04,8.07,5.04,327.00931199999997
0.31,1-Ideal,4-G,3-VVS2,62.2,55.0,565,4.32,4.36,2.7,50.85504000000002
0.77,3-Very Good,7-J,6-SI1,61.0,59.0,2086,5.94,5.99,3.64,129.51338400000003
1.13,3-Very Good,5-H,7-SI2,59.8,59.0,4537,6.75,6.82,4.06,186.9021
0.32,1-Ideal,1-D,6-SI1,62.6,55.0,589,4.36,4.39,2.74,52.444696
2.07,2-Premium,2-E,6-SI1,61.2,58.0,16957,8.24,8.19,5.03,339.452568
0.71,2-Premium,4-G,5-VS2,60.3,59.0,2443,5.79,5.76,3.48,116.059392
1.11,1-Ideal,3-F,5-VS2,60.4,58.0,7275,6.73,6.66,4.04,181.080072
1.02,2-Premium,3-F,7-SI2,61.1,59.0,4541,6.45,6.41,3.93,162.48388500000001
1.56,1-Ideal,5-H,5-VS2,61.5,56.0,11636,7.5,7.46,4.6,257.37
0.34,3-Very Good,6-I,5-VS2,61.6,56.0,457,4.47,4.51,2.76,55.64077199999999
0.96,2-Premium,4-G,7-SI2,62.7,60.0,3215,6.29,6.11,3.89,149.500091
0.31,2-Premium,1-D,5-VS2,62.3,55.0,942,4.35,4.32,2.7,50.7384
0.64,3-Very Good,4-G,4-VS1,60.4,62.0,2060,5.54,5.58,3.36,103.868352
1.01,2-Premium,3-F,2-VVS1,62.5,58.0,7882,6.41,6.35,3.99,162.406965
0.35,1-Ideal,5-H,3-VVS2,62.5,57.0,706,4.48,4.54,2.82,57.356544
0.7,2-Premium,3-F,7-SI2,62.5,60.0,2373,5.66,5.61,3.52,111.769152
0.3,1-Ideal,5-H,4-VS1,62.1,54.0,675,4.35,4.32,2.69,50.55047999999999
0.71,1-Ideal,5-H,2-VVS1,61.1,56.0,3137,5.78,5.81,3.53,118.54375399999999
0.31,1-Ideal,4-G,1-IF,61.1,57.0,871,4.38,4.42,2.68,51.883728000000005
2.25,1-Ideal,2-E,8-I1,61.4,54.0,9072,8.52,8.46,5.21,375.532632
1.18,2-Premium,6-I,6-SI1,62.8,56.0,5088,6.74,6.71,4.22,190.85118799999998
1.22,3-Very Good,4-G,7-SI2,63.2,58.0,6409,6.82,6.76,4.29,197.78272800000002
1.72,1-Ideal,4-G,5-VS2,62.8,57.0,12830,7.65,7.58,4.78,277.17786
2.01,1-Ideal,3-F,7-SI2,61.7,56.0,18394,8.12,8.16,5.02,332.6211839999999
1.03,2-Premium,4-G,6-SI1,60.1,60.0,5581,6.55,6.52,3.93,167.83458
0.7,1-Ideal,3-F,5-VS2,62.0,56.0,2671,5.71,5.74,3.55,116.35266999999999
1.01,4-Good,2-E,6-SI1,64.3,59.0,5379,6.23,6.28,4.02,157.28008799999998
1.0,5-Fair,5-H,4-VS1,64.6,59.0,5242,6.3,6.26,4.06,160.11827999999997
1.1,1-Ideal,3-F,3-VVS2,61.2,56.0,10487,6.66,6.74,4.1,184.04244
0.59,1-Ideal,1-D,1-IF,60.9,57.0,4208,5.4,5.43,3.3,96.76259999999999
0.3,3-Very Good,5-H,5-VS2,63.5,59.0,608,4.27,4.2,2.69,48.242459999999994
0.56,1-Ideal,2-E,4-VS1,61.3,55.0,1930,5.29,5.32,3.25,91.4641
0.9,2-Premium,3-F,6-SI1,61.7,62.0,3936,6.19,6.13,3.8,144.18986
0.57,3-Very Good,2-E,5-VS2,60.7,58.0,1732,5.37,5.33,3.25,93.02182499999999
0.72,1-Ideal,1-D,7-SI2,61.2,57.0,2328,5.76,5.8,3.54,118.26432000000001
1.0,5-Fair,5-H,6-SI1,65.5,57.0,3511,6.26,6.21,4.08,158.608368
0.4,1-Ideal,4-G,2-VVS1,62.1,53.0,1043,4.75,4.79,2.96,67.34740000000001
1.22,2-Premium,6-I,7-SI2,62.3,58.0,4831,6.8,6.85,4.25,197.965
1.02,1-Ideal,4-G,1-IF,62.3,57.0,8955,6.43,6.5,4.03,168.43385
1.08,1-Ideal,5-H,5-VS2,61.8,56.0,5625,6.59,6.55,4.06,175.24786999999998
0.33,2-Premium,4-G,1-IF,60.8,58.0,1052,4.46,4.42,2.7,53.225640000000006
0.42,3-Very Good,2-E,3-VVS2,59.8,56.0,1167,4.9,4.92,2.94,70.87752
1.36,3-Very Good,3-F,6-SI1,62.8,53.0,6597,7.05,7.1,4.45,222.74475
0.58,1-Ideal,3-F,4-VS1,62.1,56.0,2088,5.38,5.32,3.32,95.023712
1.02,4-Good,4-G,6-SI1,63.6,58.0,4964,6.34,6.39,4.05,164.07603
1.19,4-Good,2-E,5-VS2,57.4,60.0,6937,6.9,7.0,3.99,192.71700000000004
2.01,4-Good,1-D,7-SI2,64.6,55.0,15394,7.85,7.98,5.11,320.10573000000005
1.15,3-Very Good,3-F,7-SI2,63.1,63.0,4915,6.67,6.57,4.18,183.17554199999998
0.79,2-Premium,1-D,7-SI2,60.0,60.0,2853,6.07,6.03,3.63,132.865623
0.32,2-Premium,1-D,5-VS2,62.9,59.0,842,4.39,4.36,2.75,52.6361
0.31,1-Ideal,3-F,5-VS2,61.6,56.0,749,4.38,4.35,2.69,51.25256999999999
0.54,3-Very Good,3-F,4-VS1,61.0,58.0,1813,5.24,5.25,3.2,88.03200000000001
0.5,3-Very Good,1-D,5-VS2,62.8,60.0,1627,5.02,5.08,3.17,80.84007199999999
1.86,3-Very Good,5-H,7-SI2,62.3,57.0,11416,7.82,7.85,4.88,299.56856
1.04,3-Very Good,5-H,5-VS2,60.9,58.0,5447,6.5,6.6,3.99,171.171
1.41,1-Ideal,4-G,5-VS2,60.8,55.0,10581,7.27,7.2,4.4,230.31360000000004
0.3,1-Ideal,2-E,6-SI1,61.6,54.0,499,4.32,4.35,2.67,50.17464
0.33,1-Ideal,5-H,4-VS1,61.6,55.0,610,4.46,4.48,2.75,54.94720000000001
1.06,1-Ideal,1-D,6-SI1,62.7,54.0,6055,6.55,6.52,4.1,175.09459999999996
0.31,1-Ideal,6-I,7-SI2,62.0,54.1,372,4.32,4.35,2.69,50.55047999999999
0.91,4-Good,4-G,6-SI1,64.3,60.0,3344,6.04,6.12,3.91,144.53236800000002
0.75,3-Very Good,7-J,6-SI1,62.4,56.0,2083,5.78,5.82,3.62,121.77535200000001
0.3,3-Very Good,3-F,1-IF,62.1,57.0,886,4.26,4.3,2.66,48.72588
0.41,1-Ideal,1-D,2-VVS1,60.6,57.0,1582,4.82,4.79,2.91,67.18549800000001
1.01,2-Premium,5-H,7-SI2,59.4,62.0,3083,6.47,6.43,3.83,159.336043
1.02,3-Very Good,4-G,2-VVS1,63.0,58.0,7657,6.4,6.43,4.04,166.25408000000002
0.27,1-Ideal,4-G,4-VS1,62.3,53.0,527,4.16,4.19,2.6,45.31904000000001
0.7,3-Very Good,3-F,6-SI1,62.6,56.0,2196,5.66,5.72,3.56,115.255712
1.51,1-Ideal,6-I,5-VS2,62.3,57.0,9297,7.28,7.37,4.56,244.660416
2.22,1-Ideal,7-J,7-SI2,62.8,57.0,13703,8.33,8.29,5.22,360.47075399999994
0.54,2-Premium,4-G,5-VS2,62.7,58.0,1422,5.21,5.25,3.28,89.71619999999999
1.23,2-Premium,1-D,7-SI2,58.9,58.0,5283,6.99,6.97,4.11,200.24043300000002
0.9,4-Good,2-E,6-SI1,63.9,57.0,3795,6.12,6.08,3.9,145.11744000000002
0.88,5-Fair,3-F,6-SI1,56.6,65.0,2882,6.39,6.32,3.6,145.38528
0.7,5-Fair,4-G,7-SI2,58.6,56.0,2208,5.8,5.74,3.38,112.52696
0.31,2-Premium,5-H,6-SI1,62.7,58.0,558,4.34,4.31,2.71,50.69163399999999
1.25,1-Ideal,4-G,7-SI2,61.1,55.0,6371,6.95,6.99,4.26,206.95292999999998
1.01,2-Premium,4-G,7-SI2,59.1,59.0,4242,6.55,6.51,3.86,164.59232999999998
0.3,3-Very Good,3-F,7-SI2,63.5,57.0,506,4.25,4.22,2.69,48.245149999999995
0.28,3-Very Good,2-E,4-VS1,59.5,59.0,487,4.29,4.35,2.57,47.960055
0.51,2-Premium,3-F,7-SI2,61.1,59.0,1227,5.15,5.09,3.13,82.048255
0.52,1-Ideal,6-I,5-VS2,61.9,58.0,1232,5.14,5.17,3.19,84.770422
0.52,2-Premium,4-G,2-VVS1,59.2,58.0,2153,5.31,5.28,3.14,88.035552
0.3,4-Good,1-D,7-SI2,63.3,57.0,447,4.26,4.3,2.71,49.64177999999999
0.51,3-Very Good,1-D,6-SI1,62.2,58.0,1398,5.08,5.11,3.17,82.28939600000001
0.42,2-Premium,1-D,3-VVS2,62.8,59.0,1241,4.76,4.73,2.98,67.094104
1.82,2-Premium,5-H,5-VS2,61.6,60.0,14749,7.78,7.74,4.78,287.83821600000005
0.7,3-Very Good,2-E,5-VS2,58.9,60.0,2845,5.83,5.85,3.44,117.32292
1.37,1-Ideal,4-G,3-VVS2,62.3,55.5,12207,7.05,7.14,4.43,222.99290999999997
1.0,2-Premium,4-G,7-SI2,62.7,59.0,4095,6.3,6.36,3.97,159.06996
1.2,1-Ideal,4-G,7-SI2,61.1,57.0,5722,6.83,6.86,4.18,195.848884
1.01,2-Premium,2-E,4-VS1,62.0,59.0,7964,6.42,6.38,3.97,162.60961200000003
0.5,1-Ideal,5-H,6-SI1,61.7,58.0,1035,5.07,5.11,3.14,81.35017800000001
1.0,2-Premium,2-E,4-VS1,60.4,59.0,7744,6.51,6.54,3.94,167.747076
0.31,1-Ideal,3-F,1-IF,61.4,56.0,1061,4.38,4.41,2.7,52.152660000000004
0.4,3-Very Good,1-D,5-VS2,63.3,58.0,845,4.63,4.66,2.94,63.432852000000004
0.32,3-Very Good,4-G,5-VS2,62.3,55.0,544,4.38,4.41,2.73,52.732133999999995
1.54,2-Premium,3-F,5-VS2,62.4,59.0,14578,7.43,7.38,4.62,253.330308
1.05,2-Premium,2-E,8-I1,61.4,58.0,2964,6.53,6.46,3.99,168.313362
1.05,2-Premium,4-G,5-VS2,61.9,59.0,5821,6.56,6.52,4.05,173.22335999999996
1.0,4-Good,4-G,4-VS1,63.9,55.0,6028,6.34,6.28,4.03,160.455256
0.3,3-Very Good,6-I,4-VS1,63.3,59.0,608,4.23,4.2,2.67,47.43522
0.3,3-Very Good,2-E,5-VS2,62.4,57.0,658,4.24,4.26,2.65,47.865359999999995
1.0,4-Good,4-G,3-VVS2,60.9,56.0,7492,6.49,6.52,3.96,167.566608
0.39,2-Premium,3-F,4-VS1,60.6,55.0,1092,4.77,4.73,2.88,64.978848
0.31,3-Very Good,4-G,6-SI1,63.0,56.0,462,4.3,4.34,2.72,50.76064
0.31,2-Premium,4-G,5-VS2,61.8,58.0,435,4.35,4.39,2.7,51.56054999999999
0.6,1-Ideal,3-F,6-SI1,61.5,58.0,1646,5.38,5.41,3.32,96.631256
0.31,1-Ideal,4-G,7-SI2,60.5,57.0,523,4.4,4.36,2.65,50.83760000000001
0.3,3-Very Good,1-D,5-VS2,62.6,61.0,710,4.22,4.25,2.65,47.52775
0.41,1-Ideal,4-G,2-VVS1,62.1,55.0,1230,4.79,4.74,2.96,67.205616
0.33,2-Premium,4-G,4-VS1,60.3,58.0,621,4.5,4.52,2.72,55.324799999999996
0.7,3-Very Good,3-F,4-VS1,61.8,59.0,2895,5.66,5.76,3.53,115.08364799999998
0.28,3-Very Good,2-E,2-VVS1,62.1,57.0,707,4.17,4.21,2.6,45.644819999999996
0.7,3-Very Good,6-I,4-VS1,63.3,55.0,1995,5.64,5.6,3.56,112.43903999999999
0.35,1-Ideal,1-D,4-VS1,60.8,57.0,952,4.61,4.57,2.79,58.77888300000001
1.0,1-Ideal,4-G,6-SI1,61.0,57.0,5622,6.47,6.44,3.94,164.167192
0.76,2-Premium,3-F,1-IF,60.6,60.0,4150,5.89,5.85,3.56,122.66514
1.0,5-Fair,4-G,6-SI1,43.0,59.0,3634,6.32,6.27,3.97,157.316808
1.0,3-Very Good,4-G,6-SI1,62.6,59.0,4844,6.29,6.33,3.95,157.272015
1.03,4-Good,1-D,7-SI2,57.6,58.0,4177,6.6,6.67,3.82,168.16404
0.25,3-Very Good,3-F,3-VVS2,62.0,59.0,576,3.99,4.04,2.49,40.13780400000001
1.1,1-Ideal,5-H,5-VS2,60.5,57.0,5347,6.73,6.7,4.06,183.06946
1.03,1-Ideal,4-G,2-VVS1,61.7,56.0,7708,6.45,6.56,4.0,169.248
1.14,3-Very Good,7-J,6-SI1,63.3,55.0,4173,6.6,6.67,4.2,184.8924
1.1,1-Ideal,1-D,4-VS1,61.9,56.0,10144,6.58,6.61,4.09,177.88964199999998
0.73,2-Premium,3-F,7-SI2,60.5,57.0,2351,5.84,5.8,3.52,119.22944
0.71,1-Ideal,5-H,4-VS1,60.3,59.0,2487,5.75,5.79,3.48,115.85789999999999
0.7,4-Good,1-D,2-VVS1,61.0,61.0,4407,5.69,5.72,3.48,113.262864
1.33,1-Ideal,4-G,2-VVS1,62.2,54.0,12255,7.02,7.06,4.38,217.07805599999998
1.15,2-Premium,5-H,6-SI1,62.0,58.0,5506,6.77,6.66,4.16,187.566912
0.53,1-Ideal,3-F,2-VVS1,61.6,56.0,2896,5.18,5.24,3.21,87.129672
1.3,3-Very Good,3-F,7-SI2,61.1,58.0,6149,6.98,7.02,4.28,209.71828800000003
1.05,2-Premium,3-F,3-VVS2,61.3,59.0,8693,6.56,6.48,4.0,170.0352
0.57,2-Premium,4-G,5-VS2,59.7,59.0,1608,5.37,5.41,3.22,93.546474
0.63,3-Very Good,1-D,6-SI1,62.8,57.0,1885,5.4,5.46,3.41,100.54044
0.91,3-Very Good,2-E,7-SI2,60.3,59.0,3638,6.28,6.25,3.78,148.36499999999998
1.2,2-Premium,1-D,5-VS2,61.6,60.0,8693,6.78,6.72,4.16,189.536256
1.01,2-Premium,2-E,6-SI1,63.0,61.0,5077,6.42,6.37,4.03,164.80846200000002
1.05,2-Premium,5-H,6-SI1,59.3,58.0,5161,6.65,6.61,3.93,172.74904500000002
0.34,1-Ideal,3-F,5-VS2,62.2,55.0,641,4.47,4.5,2.79,56.12085
1.19,2-Premium,6-I,5-VS2,61.7,57.0,5439,6.84,6.77,4.2,194.48855999999998
0.52,2-Premium,1-D,6-SI1,58.7,58.0,1720,5.32,5.28,3.11,87.35865600000001
0.53,4-Good,6-I,7-SI2,63.6,58.0,942,5.08,5.11,3.24,84.10651200000002
1.11,1-Ideal,2-E,5-VS2,61.0,57.0,9625,6.65,6.7,4.08,181.78440000000003
0.32,1-Ideal,4-G,1-IF,61.1,57.0,918,4.41,4.43,2.7,52.74801000000001
0.36,1-Ideal,3-F,5-VS2,61.5,55.0,807,4.6,4.57,2.82,59.282039999999995
1.03,1-Ideal,3-F,7-SI2,61.8,56.0,4454,6.49,6.46,4.0,167.7016
0.33,2-Premium,6-I,4-VS1,59.5,60.0,668,4.54,4.5,2.69,54.9567
0.7,3-Very Good,3-F,5-VS2,62.4,57.0,2956,5.67,5.71,3.55,114.933735
0.32,1-Ideal,2-E,5-VS2,62.0,55.0,900,4.46,4.38,2.74,53.525352000000005
2.01,3-Very Good,5-H,6-SI1,60.1,60.0,17476,8.25,8.2,4.94,334.191
0.32,1-Ideal,4-G,4-VS1,61.2,56.0,645,4.39,4.43,2.7,52.50879
0.9,4-Good,4-G,7-SI2,64.1,56.0,3246,6.12,6.08,3.91,145.48953600000002
1.08,1-Ideal,3-F,5-VS2,61.0,57.0,7781,6.61,6.68,4.06,179.268488
0.31,1-Ideal,5-H,2-VVS1,61.8,57.0,907,4.35,4.32,2.68,50.362559999999995
